Experiment,piControl
Member,r1i1p1f1
0,
1,301.37805528551365
2,298.7019850518977
3,299.61861300445486
4,301.5662256920313
5,299.7200832793317
6,299.8747334155341
7,299.52580316190034
8,300.2777169240015
9,301.13722649415234
10,300.3861951812998
11,299.0771167294999
12,300.74209202198665
13,301.19618107325294
14,299.7133374637038
15,298.63451234167366
16,299.2390045284999
17,299.4759623502894
18,299.9447765930483
19,300.01646163273955
20,301.64329076187465
21,299.54942645469924
22,301.42734608487086
23,298.57260696380723
24,299.9048185274959
25,300.3454751632712
26,298.7988732408014
27,298.9166055551195
28,300.27738385982354
29,299.5097614443618
30,300.2481047259856
31,299.0887685637303
32,300.19009443450517
33,299.6852614982633
34,301.2876062792201
35,298.7443225318718
36,298.16570192200624
37,300.44968264950563
38,301.09077237469
39,299.9436972923443
40,300.33821980367367
41,299.1882088390326
42,300.6423682110448
43,300.5116258089367
44,299.10390094455175
45,299.568853872018
46,299.6280259237342
47,300.62697795995877
48,300.6450295547997
49,300.0150657730917
50,298.98860288937067
51,299.4470159237636
52,300.15576710937904
53,299.777950179005
54,300.5656463309212
55,301.79894847661217
56,298.2314272084183
57,300.01454950990245
58,299.3787744551378
59,301.2284969477646
60,298.7596863889459
61,298.3397507899005
62,299.0172761024733
63,300.2172938381564
64,301.1426497020362
65,301.9229534393623
66,297.97472808259806
67,297.6696060988102
68,298.88601591218986
69,300.74619086464946
70,298.9702345923497
71,300.0143944615554
72,300.6110075860424
73,300.4185760370722
74,299.1907888265895
75,300.3774746452232
76,298.29821850994443
77,298.9788134365576
78,300.8567190498226
79,301.5950076559703
80,299.01584349685953
81,299.76381595538373
82,300.20429452865363
83,298.8483690780017
84,300.7653589324934
85,300.6956268258962
86,299.81938235924673
87,299.4252211692121
88,298.93232779353593
89,300.51368235998706
90,299.38183514149637
91,299.90993793578815
92,301.41777099717115
93,300.30596117429155
94,299.9052994948261
95,301.2117707745247
96,299.1330797037931
97,300.6755340240417
98,300.16717842225745
99,300.2662642540783
100,299.70524313057734
101,300.5360202881417
102,300.3680867737545
103,299.06969016125186
104,300.65156849686923
105,299.05040765397666
106,300.5142820676587
107,301.3352749248608
108,298.85458173788993
109,299.85062959249814
110,299.8277871545097
111,299.5318866837036
112,300.11269206835846
113,300.0167561807297
114,298.84587184505256
115,300.859842820207
116,301.2799381566045
117,299.90521867051507
118,300.72980371071407
119,298.3500843880402
120,299.93071190236014
121,299.6380109977426
122,301.69390468142024
123,299.26614117250455
124,299.03678409883383
125,300.6727127032365
126,299.1724184871345
127,301.7398250962164
128,299.91996383821925
129,299.5383910495081
130,299.8247874993979
131,300.1480439669058
132,300.5485262868943
133,300.1477852010505
134,301.03079522744804
135,299.1688459409809
136,301.5273609348727
137,299.30433501008366
138,299.42527058886907
139,300.9205542171514
140,301.3603350969662
141,298.81411111271944
142,301.5934788510701
143,299.5843008599793
144,299.9892133484648
145,298.27510367100643
146,299.0523523421812
147,300.106922850094
148,299.0140590816766
149,299.6990313546016
150,300.88107790824137
151,298.8768841542635
152,300.21830217153985
153,299.719098888362
154,300.2022309619517
155,302.1066739251806
156,299.3941755424128
157,299.414002686895
158,300.09910313211554
159,300.15479152462166
160,300.5331068268426
161,298.72079050632857
162,299.05851595246605
163,299.13196561222765
164,300.0060777471715
165,300.9853625644544
166,298.11700569718715
167,301.4343374165057
168,298.8654772954828
169,300.51209892369434
170,300.2822697561465
171,299.2696342690349
172,300.84446766295076
173,300.4723909591026
174,298.4842791776621
175,299.1540970087789
176,300.0339799655401
177,298.86634015109433
178,301.10166917337824
179,299.9177685449318
180,300.2787336440645
181,301.5048803970639
182,299.60623473581313
183,297.6771351681621
184,299.9482827878292
185,301.6635589179136
186,298.22773097272676
187,299.74177111585556
188,301.01009726257047
189,298.04687778044524
190,300.42207712097525
191,300.27979783082316
192,300.4919634898137
193,300.4903010892405
194,301.35776909947504
195,300.63534492557227
196,299.3295497023903
197,300.0876896109658
198,301.4437938945864
199,301.1508368018496
