Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,,,,,,,,,,,,301.034182895515,301.27178452062316,301.07976873087495,301.0760006563194,301.3291564031141,301.0501128008845,301.0204170863404,301.28920455371434,301.10384832375627,301.02367006830747,301.3436842855969,301.0953398139103
1,300.9736951136121,301.25075919747695,301.0855336924454,301.38156770787276,300.88158281559015,301.1796543572763,301.0924950437823,301.5893776455494,300.81923284947237,300.7932942940568,301.2371642059365,300.9959429827013,301.3136239403782,301.067607180546,301.0026626904733,301.38563590825225,301.0714857167665,300.9182349966986,301.28755298284426,301.1078741804865,300.93352614748363,301.3130028429176,301.14514860278626
2,301.06279083696313,301.27367350564003,301.24087519300383,301.3927629641446,301.0692675946363,301.03760826347656,301.2031336535126,301.60210750811854,300.96308904118087,300.80738704305054,301.2109660473778,301.10351447968594,301.4214299530068,301.16908860251533,301.04290287389057,301.46743925933873,301.15215122257626,301.0202077368984,301.4132468414253,301.2395685637188,301.0214161194692,301.36846853828047,301.3439451168012
3,301.23729322546416,301.4052378429764,301.431407609476,301.47520542611437,301.281124503797,301.077500519924,301.43874230546385,301.7407155311493,301.14987885391054,301.04457895858224,301.28301234451516,301.28032423554845,301.7446032649253,301.3449465663096,301.1642097677812,301.61706948463956,301.2674370368327,301.1896355817954,301.6778054801757,301.4476382198983,301.19495452823065,301.5829151338642,301.5841620581093
4,301.3269770556633,301.5251519996109,301.48917425483404,301.53591775585386,301.3615443115808,301.2728520556959,301.5740342736956,301.6203083293023,301.3204556401318,301.31266320781765,301.31410302115745,301.3631854193036,301.99530145984926,301.4998783213708,301.2812208057408,301.74135896497097,301.3861227192238,301.2616824569227,301.8454842019207,301.66245981351744,301.2820441579134,301.81878114255693,301.78015397389595
5,301.2879732184662,301.5755852740063,301.4009034432523,301.5056650137307,301.310083402767,301.34710887299883,301.47586874683117,301.37247956744295,301.21876205124664,301.367958063782,301.22446294276557,301.271962162041,302.1250494225498,301.50524633417444,301.2865823327263,301.7879751167516,301.40746854631243,301.1466673990876,301.79192924708536,301.7253849651143,301.1560486104452,301.83654687116405,301.8034522512626
6,301.1791667396271,301.48710600610303,301.1793218608274,301.3899287945918,301.20022242318555,301.3235526617648,301.19877593832626,301.0603755187426,301.01224246804105,301.227197068908,301.04999568869493,301.00475407334847,302.06157720283665,301.2715539385531,301.15041661734085,301.6648192729527,301.290491573229,300.98285635960815,301.5460325998934,301.56804929755293,300.9113925757436,301.64842683075017,301.68567907762423
7,300.9928724431092,301.45847811535464,300.95242468692453,301.34969078386877,301.10769041950545,301.3508371846601,300.97072356668366,300.8504814594085,300.77073183099634,301.0221250836624,300.8499828749444,300.7172183346325,302.0314857721806,301.0835445434286,300.9007276803547,301.50207564594103,301.0830247737676,300.8569008269344,301.3609856038809,301.3555941707944,300.70581059627597,301.4620110666314,301.5879005587969
8,300.932912318875,301.4186077583547,300.8568105003712,301.38613855339116,301.0806994538127,301.4609434935034,300.90961492973497,300.8017242087051,300.69261272552495,300.9347322546229,300.81108653096754,300.56357275756955,302.0457402737405,300.99928485793833,300.74108575586826,301.41445827283275,301.017453183966,300.76037473868354,301.33463921113236,301.212516237104,300.69436940168936,301.42593168334304,301.62084395579626
9,300.9802557881937,301.5386439539377,300.9283857173034,301.4500411365023,301.184317836576,301.6749482430105,300.9988150060023,300.8468580545511,300.7272493813728,301.0471976476619,300.84255605325035,300.58133327244485,302.11119248158144,301.12669348194385,300.7043418171044,301.4478203058147,301.1174715217118,300.7447919251634,301.4714636244346,301.2936255884934,300.784258316343,301.47556243029203,301.8205897830778
10,301.20702116355227,301.62304493147826,301.0087937407247,301.53101530951835,301.2965566133558,301.70105281730815,301.07296996725535,301.02088573683517,300.9022332038594,301.21160016301445,300.98421324690963,300.67140083151463,302.0912492109623,301.2562525678723,300.79627872481984,301.57888483944134,301.3389057146638,300.7970314905244,301.60488389929253,301.479648926314,300.9530308874959,301.60352692294003,302.03667135675613
